r12	r3	r6
3.32	2.77	3.02
3.67	2.97	3.43
4.41	4.00	4.32
4.75	4.60	4.68
4.38	4.16	4.33
3.82	3.07	3.50
2.95	2.60	2.84
2.99	2.34	2.67
2.93	2.61	2.77
2.94	2.37	2.56
3.00	2.19	2.63
3.00	2.49	2.76
3.08	2.71	2.89
2.93	2.72	2.78
3.05	2.87	2.96
3.00	2.87	2.92
2.99	2.91	2.95
3.15	3.06	3.10
3.57	3.34	3.46
3.68	3.58	3.62
3.82	3.64	3.75
3.77	3.51	3.65
3.72	3.54	3.62
4.03	3.88	3.98
4.04	4.02	4.03
4.00	3.90	3.96
4.03	3.97	4.00
4.36	4.20	4.30
4.91	4.76	4.85
4.97	4.74	4.84
5.93	5.19	5.68
5.41	5.28	5.35
4.68	4.60	4.65
4.08	3.54	3.85
5.08	4.46	4.90
5.58	5.05	5.52
5.44	5.13	5.30
5.90	5.80	5.87
5.34	5.32	5.32
5.61	5.64	5.63
6.37	6.34	6.37
6.59	6.22	6.53
7.60	7.07	7.37
7.90	7.70	7.97
7.05	7.02	7.05
7.56	7.07	7.33
6.86	6.40	6.70
5.20	5.21	5.21
3.76	3.41	3.59
5.07	4.36	4.65
5.29	4.35	4.88
4.70	4.37	4.52
4.29	3.46	3.80
4.55	3.82	4.20
5.40	4.55	4.88
5.42	4.92	5.29
6.40	5.92	6.05
7.10	7.03	7.22
8.60	8.77	8.98
7.65	7.43	8.11
7.15	7.59	7.62
8.92	8.27	8.69
10.07	9.33	9.92
7.34	7.60	7.74
5.86	5.46	5.75
6.04	5.26	5.60
7.55	6.54	7.19
6.52	5.60	6.22
6.05	5.05	5.65
6.69	5.61	6.13
5.85	5.20	5.54
4.91	4.51	4.71
5.52	4.80	5.10
5.71	5.13	5.42
6.33	5.70	6.10
6.90	6.20	6.65
7.28	6.60	7.02
7.90	6.83	7.50
8.46	7.77	8.08
10.07	9.31	9.82
10.35	9.79	10.09
9.87	9.89	10.03
10.35	10.16	10.42
11.98	11.95	12.32
15.27	14.62	15.17
8.78	7.99	8.43
11.09	10.23	10.91
15.04	15.22	15.56
14.74	15.11	15.23
14.46	15.54	14.94
17.13	16.46	17.35
12.13	10.94	11.79
14.29	13.04	14.12
12.93	11.97	12.52
11.10	8.66	10.20
9.31	8.51	9.00
8.61	8.15	8.38
9.46	8.91	9.23
10.47	9.56	10.10
9.91	9.17	9.56
10.20	9.47	9.89
12.06	10.08	11.25
11.86	11.01	11.44
9.73	8.68	9.14
9.69	8.82	9.31
7.92	7.30	7.55
8.02	7.36	7.68
7.81	7.36	7.58
7.41	7.22	7.34
6.88	6.49	6.70
5.52	5.27	5.35
5.75	5.51	5.62
5.87	5.58	5.66
6.81	5.80	6.41
7.12	6.42	6.60
6.97	5.41	6.40
6.55	5.74	6.00
7.62	6.72	7.16
8.26	7.51	7.89
8.61	8.08	8.40
9.37	8.97	9.30
8.86	8.92	8.86
8.29	8.16	8.22
7.70	7.85	7.79
