time;PIB_cte;PIBpc_cte;Pop;CarbonDiox;EnergyIntens;Indust
1990;0.827732;0.729160445;1.135185;2442431.019;21.17944283;32.30437328
1991;0.904662;0.786129408;1.15078;2565594.548;18.87711071;32.15637539
1992;1.03327;0.886949879;1.16497;2690455.898;17.08054666;32.41025398
1993;1.17656;0.998404671;1.17844;2878694.009;15.87974562;33.64696044
1994;1.33013;1.116035357;1.191835;3058241.33;14.70799587;33.32411993
1995;1.47577;1.224852783;1.204855;3320285.15;14.22762923;33.35434813
1996;1.62228;1.332413453;1.21755;3463089.131;13.3030465;33.21442909
1997;1.77203;1.440586956;1.230075;3469510.048;12.16643641;32.87397596
1998;1.91092;1.538663457;1.241935;3324344.519;11.35795951;31.54468054
1999;2.05744;1.64235852;1.252735;3318055.614;10.75796138;31.28212286
2000;2.23215;1.767836565;1.262645;3405179.867;10.23305051;31.77763524
2001;2.41831;1.90141133;1.27185;3487566.356;9.833583306;31.29110488
2002;2.63911;2.061160575;1.2804;3850269.326;9.621842057;31.05771664
2003;2.90396;2.253927352;1.2884;4540417.061;9.994209983;32.46627151
2004;3.19759;2.467133461;1.296075;5233538.733;10.35599738;31.97506997
2005;3.56198;2.732166416;1.30372;5896957.705;10.28130878;32.09392433
2006;4.01504;3.062531464;1.31102;6529291.518;9.974489413;32.45232806
2007;4.58644;3.48015191;1.317885;7030797.772;9.446755652;32.36658269
2008;5.02923;3.796633841;1.324655;7553070.247;8.888790121;32.09217588
2009;5.50197;4.132904166;1.33126;8001008.965;8.693872841;31.54522277
2010;6.08716;4.550450211;1.337705;8776040.416;8.679178537;31.54309082
2011;6.66854;4.961231429;1.34413;9733538.12;8.502319501;31.97564254
2012;7.19267;5.325162231;1.350695;10028573.94;8.190299441;31.42428488
2013;7.75144;5.710589518;1.35738;10258007.13;7.851333803;30.55346604
2014;8.31726;6.096491164;1.36427;10291926.88;7.104220001;30.37704711
